WORD,GRAMMATICAL CATEGORY,GENDER,PTC,FUTURE TENSE CATEGORY,PAST TENSE CATEGORY
ಅಂಕ ,N,X,5,,
ಅಂಗಜ ,N,M,1,,
ಅಕ್ಕ,N,F,4,,
ಅದ್ದೂರಿ,N,X,6,,
ಅನಿಲ  ,N,X,5,,
ಆಗಮನ ,N,X,5,,
ಆಗರ್ಭಶ್ರೀಮಂತ ,N,M,1,,
ಆಪ್ತ ,N,M,1,,
ಆಯತಿ,N,X,11,,
ಆರ್ಯ ,N,M,1,,
ಇಂಗು ,N,X,6,,
ಇಜಾರ ,N,X,5,,
ಇಂಬು ,N,X,6,,
ಇತಿಹಾಸ ,N,X,11,,
ಇಳಿವಯಸ್ಸು,N,X,10,,
ಇಷ್ಠಾರ್ಥ ,N,X,5,,
ಈಕ್ಷಣ ,N,X,5,,
ಈಜು,N,X,10,,
ಈಳೆ  ,N,X,7,,
ಈಳಿಗೆ ,N,F,8,,
ಈಶ್ವರ ,N,M,1,,
ಉಗ್ರ ,N,M,1,,
ಉಗಿ  ,N,X,7,,
ಉಂಗುರ,N,X,5,,
ಉಕ್ಷ ,N,M,2,,
ಉಗಮ  ,N,X,10,,
ಉಚಿತ ,N,X,5,,
ಉಡುಗೊರೆ ,N,X,7,,
ಉತ್ತೀರ್ಣ,N,X,10,,
ಉತ್ತೇಜನ  ,N,X,5,,
ಉದ್ದ,N,X,10,,
ಉದಂತ  ,N,X,5,,
ಉಪಕರಣ,N,X,5,,
ಉಪಾಯ  ,N,X,5,,
ಉಪೇತ ,N,X,5,,
ಉಪನಯನ ,N,X,5,,
ಉಪರಿ ,N,X,10,,
ಉರುಟಣೆ ,N,X,7,,
ಉಲ್ಲೇಖ,N,X,5,,
ಉಲುಗು ,N,X,6,,
ಉಳ್ಳಿ  ,N,X,6,,
ಊಟ  ,N,X,5,,
ಊದಾ ,N,X,10,,
ಊಪಾರ ,N,X,5,,
ಊಸರವಳ್ಳಿ ,N,X,7,,
ಊಹೆ  ,N,X,7,,
ಋಗ್ವೇದ,N,X,7,,
ಋಷಿ ,N,X,7,,
ಋತು,N,X,5,,
ಎಂದು  ,N,M,10,,
ಎಂಟು,N,X,11,,
ಎಕ್ಕ,N,X,5,,
ಎಡ ,N,X,5,,
ಎತ್ತು  ,N,X,6,,
ಎತ್ತರ  ,N,X,5,,
ಎಣ್ಣೆಗಾಯಿ  ,N,X,7,,
ಎಡವಟ್ಟು,N,X,10,,
ಎಡೆ ,N,X,7,,
ಎಲೆ ,N,X,7,,
ಎಳೆತ   ,N,X,5,,
ಎಸಗು ,N,X,6,,
ಏಕ ,N,X,10,,
ಏಕದಂತ ,N,M,1,,
ಏಕಾಂತ ,N,X,5,,
ಏಕಾಕಿ ,N,X,7,,
ಏರುಪೇರು ,N,X,11,,
ಏರಿ ,N,X,5,,
ಏಲಕ್ಕಿ  ,N,X,7,,
ಐತಿಹಾಸಿಕ,N,X,5,,
ಐತಿಹ್ಯ  ,N,X,5,,
ಐನಾತಿ ,N,F,7,,
ಒಂಟಿ  ,N,X,7,,
ಒಗೆ ,N,X,7,,
ಒಡ್ದ ,N,M,1,,
ಒಣಗು ,N,X,6,,
ಒತ್ತಡ ,N,X,5,,
ಒಬ್ಬಟ್ಟು  ,N,X,11,,
ಒಲಿ,N,X,5,,
ಒಳಗೆ ,N,X,10,,
ಓತಿ,N,X,7,,
ಓಗರ ,N,X,5,,
ಓಟ ,N,X,5,,
ಓಡೆ ,N,F,8,,
ಓಣಿ  ,N,F,8,,
ಓರಗೆ ,N,X,11,,
ಓರೆಕೋರೆ ,N,X,7,,
ಓಸರಿಸು ,N,X,10,,
ಔತಣ ,N,X,5,,
ಔಷದ  ,N,X,5,,
ಔದುಂಬರ,N,X,5,,
ಔಪಚಾರಿಕ  ,N,M,1,,
ಕಂದಾಯ ,N,X,5,,
ಕಂದುಕ  ,N,X,5,,
ಕಂಪಿಸು ,N,X,6,,
ಕಗ್ಗ  ,N,X,5,,
ಕಗ್ಗಂಟು  ,N,X,11,,
ಕಗ್ಗತ್ತಲು ,N,X,5,,
ಕಟು  ,N,X,5,,
ಕಟುಕ  ,N,M,1,,
ಕಟ್ಟಡ,N,X,5,,
ಅಂಬರಚುಂಬಿ  ,J,,,,
ಅಂತಪ್ಪ ,J,,,,
ಅಚಿಂತ್ಯ ,J,,,,
ಅದೃಶ್ಯ ,J,,,,
ಅನಭಿಷಿಕ್ತಾ ,J,,,,
ಅನೇಕ,J,,,,
ಆಕುಲ ,J,,,,
ಆಹೂತ,J,,,,
ಇಂತು,D,,,,
ಇಟ್ಟಲಂ ,D,,,,
ಇತಿ,D,,,,
ಈಗಡು,D,,,,
ಈಚೆ,D,,,,
ಉಂತೆ,D,,,,
ಉಂದು,D,,,,
ಉಗುರುಬಿಸಿ ,D,,,,
ಉಜ್ವಲ ,J,,,,
ಉತ್ಕಿರ್ಣ,J,,,,
ಉತ್ತಮ ,J,,,,
ಉತ್ತುಂಗ ,J,,,,
ಉತ್ಪಲ್ಲ ,J,,,,
ಉತ್ಸುಕ ,J,,,,
ಉದಾರ ,J,,,,
ಉದ್ದಂಡ,J,,,,
ಉದ್ದಾಮ,J,,,,
ಉದ್ಧತ,J,,,,
ಉದ್ದ್ವೃತ ,J,,,,
ಉದ್ರಿಕ್ತ ,J,,,,
ಉದ್ವಿಗ್ನ,J,,,,
ಉನ್ಮುಖ ,J,,,,
ಉಪಯುಕ್ತ ,J,,,,
ಉಪರಿ,J,,,,
ಉಪಲಬ್ಧ ,J,,,,
ಉಪಸ್ಥಿತ,J,,,,
ಉಪಾದೇಯ ,J,,,,
ಉಪೇತ ,J,,,,
ಊರ್ಜಿತ ,J,,,,
ಊರ್ದ್ವ,J,,,,
ಋಜು  ,J,,,,
ಎಂತಪ್ಪ,J,,,,
ಎಂತು,D,,,,
ಎಕ್ಕೆಕ್ಕೆ ,D,,,,
ಎನಸುಂ ,D,,,,
ಎನ್ನ ,J,,,,
ಎಯ್ದೆ,D,,,,
ಎಹಂಗೆ,D,,,,
ಎಳಸು ,J,,,,
ಏಕತ್ರ  ,D,,,,
ಏಕಾಏಕಿ,D,,,,
ಏಕಾಗ್ರ ,J,,,,
ಐಚ್ಚಿಕ ,J,,,,
ಐತಿಹಾಸಿಕ ,J,,,,
ಐನಾತಿ ,J,,,,
ಐಹಿಕ ,J,,,,
ಒಟ್ಟಾರೆ ,D,,,,
ಒಡನೆ ,D,,,,
ಒಮ್ಮೆ ,D,,,,
ಒಮ್ಮೆಲೆ ,D,,,,
ಒಯ್ಯನೆ ,D,,,,
ಒಯ್ಯೆಗೆ,D,,,,
ಒಳಗೆ ,D,,,,
ಔದ್ಯೋಗಿಕ ,J,,,,
ಔಪಚಾರಿಕ ,J,,,,
ಕಂಗನೆ,D,,,,
ಕಚ್ಚಾ  ,J,,,,
ಕಟು  ,J,,,,
ಕಡು,D,,,,
ಕಡ್ಡ,J,,,,
ಕತಿಪಯಾ ,D,,,,
ಕಥಿತ,J,,,,
